,APN,BA>75 All Slopes,BA>75 & S>30,BA>75 & 30>S>15,BA>75 & S<15,"BA<75,BA>50  and S>30","BA<75,BA>50  and 30>S>15","BA<75,BA>50 and S<15","BA<50,BA>25 and S>30","BA<50,BA>25 and 30>S>15","BA<50,BA>25 and S<15",BA<25 and S>30,BA<25 and 30>S>15,BA<25 and S<15
67,011222006,0.19999999999999998,0.0,0.02,0.18,0.0,0.0,0.26,0.0,0.07,0.37,0.0,0.0,0.0
68,011243006,0.17,0.0,0.0,0.17,0.0,0.0,0.38,0.0,0.0,0.07,0.0,0.0,0.13
69,011254003,0.15000000000000002,0.0,0.01,0.14,0.02,0.04,0.92,0.02,0.02,0.03,0.0,0.0,0.0
70,011262005,0.15000000000000002,0.0,0.01,0.14,0.0,0.02,0.04,0.02,0.14,0.27,0.01,0.06,0.03
71,011180007,0.14,0.0,0.1,0.04,0.0,0.07,0.18,0.0,0.0,0.0,0.0,0.0,0.0
72,011252006,0.13,0.0,0.0,0.13,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
73,011222004,0.11,0.0,0.0,0.11,0.0,0.0,0.23,0.0,0.0,0.09,0.0,0.0,0.0
74,011222003,0.11,0.0,0.0,0.11,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
75,011252001,0.1,0.0,0.0,0.1,0.0,0.02,0.28,0.0,0.0,0.02,0.0,0.01,0.03
76,011252004,0.1,0.0,0.0,0.1,0.0,0.0,0.31,0.0,0.0,0.04,0.0,0.0,0.0
77,011222015,0.1,0.0,0.0,0.1,0.1,0.1,0.42,0.0,0.0,0.01,0.03,0.05,0.28
78,011222013,0.09,0.0,0.06,0.03,0.0,0.1,0.26,0.0,0.0,0.01,0.0,0.01,0.19
79,011254002,0.07,0.0,0.0,0.07,0.0,0.0,0.65,0.0,0.0,0.08,0.0,0.0,0.0
80,011150019,0.06,0.0,0.0,0.06,0.0,0.0,0.05,0.0,0.0,0.13,0.0,0.0,0.16
81,011252007,0.06,0.0,0.0,0.06,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
82,011180010,0.05,0.0,0.0,0.05,0.0,0.02,0.21,0.0,0.0,0.01,0.0,0.0,0.0
83,011180009,0.05,0.0,0.03,0.02,0.0,0.09,0.12,0.0,0.0,0.0,0.0,0.0,0.0
84,011180006,0.05,0.0,0.01,0.04,0.0,0.01,0.15,0.0,0.02,0.16,0.0,0.0,0.0
85,011250ROW,0.04,0.0,0.0,0.04,0.0,0.04,1.17,0.02,0.07,1.08,0.0,0.0,0.48
86,011254006,0.04,0.0,0.0,0.04,0.0,0.01,0.28,0.07,0.1,0.23,0.0,0.0,0.0
87,011180008,0.04,0.0,0.03,0.01,0.0,0.18,0.14,0.0,0.0,0.01,0.0,0.0,0.0
88,011252008,0.04,0.0,0.0,0.04,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
89,011150018,0.04,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.03,0.0,0.0,0.07
90,011140002,0.03,0.0,0.0,0.03,0.0,0.0,0.19,0.0,0.0,0.12,0.0,0.0,0.0
91,011222002,0.03,0.0,0.0,0.03,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
92,011260ROW,0.02,0.0,0.0,0.02,0.0,0.0,0.07,0.03,0.17,0.44,0.07,0.23,0.4
93,011180011,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.01,0.25,0.0,0.0,0.0
94,011223002,0.01,0.0,0.0,0.01,0.0,0.0,0.24,0.0,0.0,0.14,0.0,0.0,0.02
95,011281006,0.01,0.0,0.01,0.0,0.0,0.03,0.13,0.03,0.2,0.28,0.0,0.0,0.08
96,011252005,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.1,0.0,0.0,0.0
97,011140006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.04
98,011140007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.28
99,011251003,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.23
100,011251002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.49
101,011251001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.42
102,011252009,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0
103,011290012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.29
